Terms,Definition,Alternates
sanity check,"Sanity pertains to mental health, other replacements could be more accurate.","quick check, confidence check, coherence check, initial check, spot check, well-formedness check, litmus test, unit test"
sanity test,"Sanity pertains to mental health, other replacements could be more accurate.","quick check, confidence check, coherence check, initial check, spot check, well-formedness check, litmus test, unit test"
dummy value,"The origin of ""dummy"" is a person who cannot speak, and so this term offends those who cannot speak.","placeholder value, sample value"
scrum master,"Term is racially charged, there are many better alternatives.","Agile Lead, Agile Program Manager, Agile Coach, Agile Team Facilitator, Scrum Coach, Scrum Teacher, Scrum Leader, Scrum Facilitator, Servant Leader, Scrum Custodian, Scrum Guardian, Scrum Guide, Process Expert, Process Lead"
mob programming,,"ensemble programming, team, swarm, troop"
segregation,"This term is generally associated with keeping the other races separate from the race perceived to be superior. The practice of segregation is used for limiting people’s rights and privileges in a society based on their skin color, faith, or ethnicity.","Separation, Dissociation, Division"
blackout period,"Due to the term's association with the color to indicate the meaning, it is wise to use alternate words that are not offensive to a specific population segment.","downtime, restrict, restricted, inaccessible"
gray hat,"Avoid colored terminology, it is often racially charged.",hacktivist
grey hat,"Avoid colored terminology, it is often racially charged.",hacktivist
native,,built-in
red team,"Avoid colored terminology, it is often racially charged.",cyber offense
web master,"Term is racially charged, there are many better alternatives.",web product owner
white space,"Avoid colored terminology, it is often racially charged.","empty space, blank space"
white team,"Avoid colored terminology, it is often racially charged.",cyber exercise cell
yellow team,"Avoid colored terminology, it is often racially charged.",DevSecOps team
aboriginal,,"indigenous, indigenous people"
brown bags,"Traces back to the brown paper bag test, which was traditionally used to judge skin color by certain African-American sororities and fraternities.","Lunch and Learn, Tech Talks"
first-class citizen,,"type, object, entity, value"
man-in-the-middle,Gendered term does not necessarily pertain to everyone.,"person-in-the-middle, machine-in-the-middle, monster-in-the-middle"
master branch,Term is racially charged.,"trunk, main branch"
minority,"The term minority has come to be seen as a generalized term for the other.� Also, the use of minority implies a less than attitude toward the community or communities being discussed. Instead, use either community-specific terms (e.g., Native American, African American, etc.) or the general term people of color when referring to racial or ethnic communities.","Native American, African American, people of color"
normal,,typical
handicapped,,person with disabilities
crazy,,"unexpected, unpredictable"
OCD,,"organized, detail-oriented"
culture fit,,"values fit, cultural contribution"
chairman,,"chairperson, chair, moderator, discussion leader"
foreman,,"chairperson, chair, moderator, discussion leader"
man,,"humanity, people, humankind"
mankind,,"humanity, people, humankind"
mans,,"operates, staffs"
salesman,,sales representative
manmade,,"synthetic, manufactured"
manpower,,"workforce, staff, personnel"
demilitarized zone,,perimeter network
DMZ,,perimeter network
hang,,stop responding
daughter board,,"auxiliary board, ancillary board, secondary board"
gender bender,,plug-socket adapter
orphaned object,,"unreferenced object, de-referenced object, unlinked object"
